original_language,original_title,overview,popularity,release_date,runtime,tagline,title,vote_average,vote_count,price
en,Jurassic Park,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",8.863776,11/06/1993,127,An adventure 65 million years in the making.,Jurassic Park,7.6,4956,7.99
en,Manhattan Murder Mystery,A middle-aged couple suspects foul play when their neighbor's wife suddenly drops dead.,8.939404,18/08/1993,104,Keaton & Allen reunited for fun flick!,Manhattan Murder Mystery,7.1,169,6.99
en,Menace II Society,"Menace II Society is a coming of age tale detailing the summer after its protagonist Caine (Tyrin Turner) graduates from high school. This is Caine's story, which details real life in today's tough inner city.",5.260924,26/05/1993,97,This is the truth. This is what's real.,Menace II Society,7.2,179,6.99
en,Much Ado About Nothing,"In this Shakespearean farce, Hero and her groom-to-be, Claudio, team up with Claudio's commanding officer, Don Pedro, the week before their wedding to hatch a matchmaking scheme. Their targets are sharp-witted duo Benedick and Beatrice -- a tough task indeed, considering their corresponding distaste for love and each other. Meanwhile, meddling Don John plots to ruin the wedding.",8.62724,07/05/1993,111,Romance. Mischief. Seduction. Revenge. Remarkable.,Much Ado About Nothing,7.2,194,6.99
en,Philadelphia,No one would take his case until one man was willing to take on the system. Two competing lawyers join forces to sue a prestigious law firm for AIDS discrimination. As their unlikely friendship develops their courage overcomes the prejudice and corruption of their powerful adversaries.,13.373006,22/12/1993,125,No one would take on his case... until one man was willing to take on the system.,Philadelphia,7.6,1019,7.99
en,The Remains of the Day,A rule bound head butler's world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post-WWI Britain. The possibility of romance and his master's cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.,12.222576,05/11/1993,134,Diamond in the Rough,The Remains of the Day,7.5,213,7.99
en,Rudy,"Rudy grew up in a steel mill town where most people ended up working, but wanted to play football at Notre Dame instead. There were only a couple of problems. His grades were a little low, his athletic skills were poor, and he was only half the size of the other players. But he had the drive and the spirit of 5 people and has set his sights upon joining the team.",5.914833,17/09/1993,114,"It's not the size of the dog in the fight, It's the size of the fight in the dog.",Rudy,7.2,187,6.99
en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,41.725123,29/11/1993,195,"Whoever saves one life, saves the world entire.",Schindler's List,8.3,4436,7.99
en,Searching for Bobby Fischer,A prepubescent chess prodigy refuses to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.,12.048587,13/08/1993,110,Every journey begins with a single move.,Searching for Bobby Fischer,7.3,100,6.99
en,The Secret Garden,"A young British girl born and reared in India loses her neglectful parents in an earthquake. She is returned to England to live at her uncle's castle. Her uncle is very distant due to the loss of his wife ten years before. Neglected once again, she begins exploring the estate and discovers a garden that has been locked and neglected. Aided by one of the servants' boys, she begins restoring the garden, and eventually discovers some other secrets of the manor.",6.499523,13/08/1993,102,"The timeless tale of a special place where magic, hope and love grow.",The Secret Garden,7.1,232,6.99
en,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",96.272374,25/06/1982,117,Man has made his match... now it's his problem.,Blade Runner,7.9,3833,7.99
en,Thirty Two Short Films About Glenn Gould,"A collection of vignettes highlighting different aspects of the life, work, and character of the acclaimed Canadian classical pianist.",0.873068,26/11/1993,93,The sound of genius.,Thirty Two Short Films About Glenn Gould,7.4,9,6.99
